GeoName,FIPS,GDP Impact,State,Unemploy Rate,GO_yieldImpact,REV_yieldImpact,infectedPCT
"Fulton, GA",13121,-0.044665413,GA,0.029935606,0.303082939,0.833760062,0.001185221
"Harrison, IN",18061,-0.042803552,IN,0.062111827,0.573409577,0.626058913,0.001184746
"Carbon, PA",42025,-0.020058394,PA,0.123671112,1.069270307,0.353454901,0.001184133
"Minnehaha, SD",46099,-0.016626671,SD,0.01875562,0.177264804,0.618229146,0.001180528
"Otsego, MI",26137,-0.048747361,MI,0.090799137,0.822877538,0.317188014,0.001175612
"Perry, MS",28111,-0.025745459,MS,0.029841954,0.281256601,0.187526277,0.001169298
"Irwin, GA",13155,-0.021014052,GA,0.029935606,0.276789485,0.446792248,0.001168224
"Lafayette, LA",22055,-0.042753922,LA,0.082517871,0.74610728,0.47340198,0.001166169
"Gloucester, NJ",34015,-0.05083119,NJ,0.074201652,0.684683662,0.212497249,0.001165837
"Bacon, GA",13005,-0.021217876,GA,0.029935606,0.277016078,0.219470356,0.001164457
"Arapahoe, CO",08005,-0.04456482,CO,0.026604143,0.274767712,0.93045991,0.001163588
"Morgan, IN",18109,-0.030258962,IN,0.062111827,0.559463631,0.231049618,0.001163302
"Hamilton, IN",18057,-0.051908172,IN,0.062111827,0.583531274,0.297306862,0.001159726
"Lee, AL",01081,-0.042088227,AL,0.042297859,0.40487385,0.234517769,0.00115472
"Webster, GA",13307,0,GA,0.029935606,0.253427953,0.440506735,0.001150748
"Warren, GA",13301,-0.036108388,GA,0.029935606,0.293570008,0.322605599,0.001141987
"Hall, GA",13139,-0.045462455,GA,0.029935606,0.303969018,0.564160214,0.001139693
"New Castle, DE",10003,-0.031316012,DE,0.062834922,0.566760317,0.402263263,0.001138249
"Beadle, SD",46005,-0.036723413,SD,0.01875562,0.199606553,0.56154628,0.001138026
"Lauderdale, MS",28075,-0.028682514,MS,0.029841954,0.284521755,0.532037449,0.001133221
"Lowndes, AL",01085,-0.056214115,AL,0.042297859,0.420577741,0.477428059,0.001130989
"Talbot, GA",13263,-0.018334869,GA,0.029935606,0.27381101,0.415765806,0.001129944
"Chaffee, CO",08015,-0.047743879,CO,0.026604143,0.278301903,0.327956519,0.001129888
"Kemper, MS",28069,-0.017613489,MS,0.029841954,0.272216209,0.352723606,0.001129132
"Adair, OK",40001,-0.010469579,OK,0.037996921,0.333312332,0.55738279,0.001126431
"Hall, NE",31079,-0.035292716,NE,0.039880393,0.376853503,0.149645834,0.001124639
"Chenango, NY",36017,-0.025718364,NY,0.049713377,0.449453381,0.369161665,0.001122715
"Boone, IN",18011,-0.066139331,IN,0.062111827,0.599352196,0.631725564,0.001120233
"Albany, NY",36001,-0.03248292,NY,0.049713377,0.456973605,0.470329821,0.001119454
"Kent, DE",10001,-0.024179358,DE,0.062834922,0.558826428,0.248245544,0.001111812
"Carroll, MD",24013,-0.041566082,MD,0.040513085,0.389183888,0.315040021,0.001104205
"Madison, IN",18095,-0.037328528,IN,0.062111827,0.567322938,0.233094095,0.001103659
"Sumter, SC",45085,-0.029501626,SC,0.042045613,0.38874574,0.405887571,0.001096317
"Choctaw, MS",28019,0,MS,0.029841954,0.252635117,0.523458223,0.001096224
"Cape May, NJ",34009,-0.028387264,NJ,0.074201652,0.659732525,0.510645816,0.001086496
"Pearl River, MS",28109,-0.023566686,MS,0.029841954,0.278834437,0.242957171,0.0010804
"Sunflower, MS",28133,-0.003570278,MS,0.029841954,0.25660423,0.398131246,0.001075269
"Arlington, VA",51013,-0.061148477,VA,0.037150238,0.382484747,0.63023275,0.001072445
"Middlesex, CT",09007,-0.045699627,CT,0.033279081,0.33253778,0.295449824,0.001071191
"Walker, AL",01127,-0.026720802,AL,0.042297859,0.387789729,0.355447694,0.001070512
"Gage, NE",31067,-0.010184199,NE,0.039880393,0.348940114,0.142135625,0.001069121
"Tallapoosa, AL",01123,-0.023799901,AL,0.042297859,0.384542535,0.561370023,0.001065227
"Coffee, GA",13069,-0.025310411,GA,0.029935606,0.28156579,0.400466928,0.001063019
"Columbia, NY",36021,-0.041846262,NY,0.049713377,0.467382926,0.405412966,0.001059518
"Suwannee, FL",12121,-0.032675985,FL,0.029926153,0.289674147,0.92690384,0.001058153
"Walthall, MS",28147,-0.029084627,MS,0.029841954,0.284968788,0.360486935,0.001049979
"St. Landry, LA",22097,-0.035714969,LA,0.082517871,0.738282004,0.292463313,0.001047197
"Baltimore, MD",24005,-0.033430347,MD,0.040513085,0.38013931,0.564250586,0.00104669
"Jefferson, CO*",08059,-0.057457928,CO,0.026604143,0.289101109,0.364641476,0.001046526
"Madison, MT",30057,-0.118615318,MT,0.067713461,0.705112422,0.432542368,0.001046512
"Rapides, LA",22079,-0.030545431,LA,0.082517871,0.732534978,0.402032775,0.001041281
"Jackson, IN",18071,-0.07577004,IN,0.062111827,0.610058752,0.634606206,0.001039995
"Crawford, IN",18025,-0.020740882,IN,0.062111827,0.548882287,0.301952017,0.001039992
"Gallatin, MT",30031,-0.062045478,MT,0.067713461,0.642223165,0.630501052,0.001039901
"Montgomery, MD",24031,-0.038952449,MD,0.040513085,0.386278286,0.415456605,0.001035512
"Brooks, GA",13027,-0.01127798,GA,0.029935606,0.265965795,0.41365502,0.00103513
"Clinton, MI",26037,-0.055134456,MI,0.090799137,0.829978135,0.229615144,0.001030215
"Whatcom, WA",53073,-0.0617828,WA,0.085517589,0.7926568,0.630422482,0.001029457
"Lancaster, PA",42071,-0.065379858,PA,0.123671112,1.119654632,0.460062504,0.001027992
"Switzerland, IN",18155,-0.013488135,IN,0.062111827,0.540819335,0.239942575,0.001023161
"Hampshire, MA",25015,-0.037721404,MA,0.089085202,0.796110095,0.324958697,0.00101971
"Washington, RI",44009,-0.054865585,RI,0.117687823,1.057312659,0.257424102,0.001019295
"Goochland, VA",51075,-0.033454137,VA,0.037150238,0.351696671,0.453322696,0.001010399
"Monroe, MI",26115,-0.026827923,MI,0.090799137,0.798509479,0.468638355,0.001009967
